iter	Passed	Remaining
177	337	1557
178	338	1552
179	339	1547
180	341	1545
181	343	1543
182	344	1537
183	345	1532
184	346	1527
185	347	1521
186	348	1516
187	349	1511
188	350	1506
189	351	1500
190	353	1496
191	354	1491
192	356	1488
193	357	1484
194	358	1479
195	359	1473
196	360	1468
197	361	1463
198	362	1459
199	363	1454
200	364	1449
201	365	1445
202	366	1440
203	368	1436
204	369	1434
205	371	1430
206	372	1425
207	374	1424
208	375	1422
209	377	1418
210	378	1415
211	379	1411
212	380	1406
213	381	1401
214	382	1396
215	383	1393
216	386	1393
217	387	1388
218	388	1384
219	389	1379
220	390	1375
221	391	1371
222	392	1367
223	393	1362
224	394	1358
225	395	1354
226	396	1350
227	397	1347
228	399	1344
229	400	1341
230	402	1339
231	403	1336
232	404	1332
233	406	1331
234	408	1331
235	410	1327
236	411	1324
237	412	1321
238	414	1318
239	415	1316
240	417	1314
241	419	1313
242	420	1310
243	422	1307
244	423	1305
245	424	1302
246	426	1299
247	427	1296
248	429	1294
249	431	1293
250	432	1290
251	433	1287
252	434	1283
253	435	1280
254	437	1278
255	438	1274
256	439	1271
257	441	1268
258	442	1265
259	443	1261
260	444	1259
261	445	1256
262	446	1252
263	447	1248
264	449	1245
265	450	1242
266	451	1238
267	452	1235
268	453	1232
269	454	1229
270	456	1226
271	457	1223
272	458	1221
273	459	1218
274	460	1214
275	461	1211
276	463	1208
277	464	1205
278	465	1202
279	466	1200
280	468	1199
281	470	1198
282	471	1195
283	473	1193
284	475	1192
285	476	1189
286	478	1187
287	479	1185
288	480	1182
289	481	1178
290	482	1175
291	483	1172
292	484	1169
293	485	1166
294	486	1163
295	488	1160
296	489	1158
297	490	1155
298	491	1151
299	492	1149
300	493	1146
301	494	1142
302	495	1140
303	496	1137
304	497	1134
305	499	1132
306	500	1129
307	501	1126
308	502	1124
309	504	1122
310	505	1119
311	506	1116
312	507	1113
313	508	1110
314	510	1109
315	511	1106
316	511	1103
317	513	1100
318	514	1097
319	514	1094
320	516	1092
321	517	1089
322	518	1087
323	519	1084
324	520	1081
325	521	1078
326	522	1076
327	523	1073
328	524	1070
329	525	1067
330	526	1065
331	528	1062
332	529	1060
333	530	1057
334	531	1055
335	532	1052
336	533	1049
337	534	1047
338	535	1044
339	537	1043
340	538	1041
341	539	1038
342	540	1036
343	542	1034
344	543	1032
345	545	1030
346	546	1028
347	547	1025
348	548	1023
349	549	1020
350	550	1017
351	551	1015
352	552	1013
353	553	1010
354	554	1008
355	556	1006
356	557	1003
357	558	1002
358	560	1000
359	561	997
360	562	995
361	563	993
362	564	991
363	565	988
364	566	985
365	567	983
366	568	980
367	569	978
368	571	976
369	572	975
370	574	973
371	575	971
372	576	969
373	577	966
374	578	964
375	579	961
376	580	958
377	581	956
378	582	953
379	583	951
380	584	948
381	585	946
382	586	944
383	587	942
384	588	940
385	589	938
386	590	935
387	591	933
388	592	930
389	593	928
390	594	925
391	595	923
392	596	921
393	597	919
394	598	916
395	599	915
396	601	913
397	602	911
398	603	909
399	604	907
400	605	905
401	607	902
402	608	900
403	609	898
404	610	896
405	611	894
406	612	892
407	613	889
408	614	888
409	616	886
410	617	885
411	619	883
412	620	881
413	621	879
414	622	877
415	623	875
416	624	873
417	625	871
418	626	869
419	628	868
420	630	866
421	631	864
422	633	863
423	634	861
424	635	860
425	637	858
426	638	856
427	639	854
428	640	852
429	641	850
430	642	848
431	643	846
432	644	844
433	646	842
434	647	841
435	648	839
436	649	837
437	650	835
438	651	833
439	652	830
440	653	828
441	654	826
442	655	824
443	657	822
444	658	821
445	659	819
446	660	817
447	662	816
448	663	814
449	664	812
450	665	810
451	666	808
452	667	805
453	668	803
454	669	801
455	670	799
456	671	797
457	672	795
458	673	793
459	674	791
460	675	790
461	676	787
462	677	785
463	678	783
464	679	781
465	680	779
466	681	777
467	682	775
468	682	773
469	683	771
470	684	769
